prefetch_count,arrival_rate,sample_number,setpoint
1,2564.5632821202557,1,4500
1,2792.4478035192974,1,4500
1,2841.5873309891012,1,4500
1,2932.796993296845,2,4500
1,2679.507303688582,3,4500
1,2595.74584852177,4,4500
1,2935.8598220935373,5,4500
1,2874.856407340167,6,4500
1,2797.44257454737,7,4500
1,2960.8596917418486,8,4500
1,2879.4616236913766,9,4500
2,4833.577066949932,10,4500
2,4618.2502535737785,11,4500
2,4936.885826605515,12,4500
2,4643.80245843015,13,4500
2,4513.346015020668,14,4500
2,4558.4675284852165,15,4500
2,4460.98383356231,16,4500
2,4618.079106262716,17,4500
2,5094.192469789192,18,4500
2,4513.293613024955,19,4500
3,6039.583440587624,20,4500
3,6050.009847828033,21,4500
3,6420.173212949937,22,4500
3,6111.279164292324,23,4500
3,6296.4469385897,24,4500
3,6278.0205200935325,25,4500
3,6241.27187613524,26,4500
3,6365.668112430818,27,4500
3,6371.384809434869,28,4500
3,6345.313314234518,29,4500
4,6702.109079073286,30,4500
4,6820.940140720408,31,4500
4,6936.207391640202,32,4500
4,6774.250602583709,33,4500
4,6628.1829329548655,34,4500
4,6491.497833228835,35,4500
4,6576.5372812530395,36,4500
4,6867.229597169714,37,4500
4,6707.278891353281,38,4500
4,6453.780920104167,39,4500
5,6921.739765095371,40,4500
5,6646.689382548603,41,4500
5,7017.558004783173,42,4500
5,6944.792052316225,43,4500
5,6303.786924422683,44,4500
5,6696.353700481101,45,4500
5,6890.2574523763615,46,4500
5,6752.937692001181,47,4500
5,7076.172331708374,48,4500
5,7120.769101429547,49,4500
6,6974.898669643656,50,4500
6,6809.880841495054,51,4500
6,6970.786039494817,52,4500
6,6608.045330816989,53,4500
