prefetch_count,arrival_rate,sample_number
5,3736.7458326943806,135
5,3756.4590310450826,136
5,3756.522976261149,137
5,3361.879065614254,138
5,3628.523524503811,139
5,3622.160447562099,140
5,3504.158218911039,141
5,3776.5840822069854,142
5,3516.486481220828,143
5,3792.7967446164416,144
5,3636.7859533471,145
5,3565.353587459117,146
5,3622.545760757023,147
5,3639.7463710008315,148
5,3763.3011240520786,149
6,3821.971022920959,150
6,3476.62908227044,151
6,3702.4938942513254,152
6,3641.794616716713,153
6,3648.4385548124856,154
6,3674.7873836187546,155
6,3714.9930913576814,156
6,3513.551078562024,157
6,3809.291923489834,158
6,3715.724875862724,159
6,3676.6741220464883,160
6,3676.642390942123,161
6,3754.811646373177,162
6,3652.8963607151686,163
6,3660.9797499823094,164
6,3494.6107014771997,165
6,3500.2608008619345,166
6,3662.554941788913,167
6,3781.9222751378734,168
6,3788.62666866029,169
6,3538.350227102423,170
6,3822.4166302227886,171
6,3329.549802673748,172
6,3646.389567595765,173
6,3650.134904553685,174
6,3740.5932221154003,175
6,3742.1844429584935,176
6,3698.526634450916,177
6,3599.76515501373,178
6,3605.9589050207946,179
7,3602.198969402608,180
7,3538.7510651679563,181
7,3658.3648489085995,182
7,3704.6150185030046,183
7,3691.655829900518,184
7,3568.7635832115743,185
7,3653.4022741517465,186
7,3917.19117299407,187
7,3520.5590389058357,188
7,3683.8401501399694,189
7,3741.3259638655186,190
7,3530.6003343583798,191
7,3689.399120378704,192
7,3620.593266909723,193
7,3574.7289196987385,194
7,3679.8303224600877,195
7,3675.777550940613,196
7,3665.8038753534247,197
7,3692.579405445984,198
7,3681.752774453338,199
7,3827.729547137966,200
7,3812.55709593417,201
7,3708.532094749242,202
7,3494.8728471764375,203
7,3834.798856795193,204
7,3714.743317515297,205
7,3819.7356421946774,206
7,3750.927741298319,207
7,3780.735459933536,208
7,3703.4765597288488,209
8,3677.3601955049335,210
8,3782.390964549641,211
8,3628.566952500919,212
8,3824.329245007178,213
8,3495.1138367722697,214
8,3678.2838890106905,215
8,3753.946299367437,216
8,3706.4506569478453,217
8,3803.407032342796,218
8,3778.2740666593268,219
8,3677.3880760960974,220
8,3873.8699567580434,221
8,3795.9091364676233,222
8,3905.2661118441324,223
8,3772.799640197788,224
8,3597.5740965991695,225
8,3707.0246494077583,226
8,3430.471918701537,227
8,3729.5235298577386,228
8,3803.775876703663,229
8,3629.9716761457744,230
8,3484.9422550228146,231
8,3793.6312254937466,232
8,3727.725215636539,233
8,3654.109655072527,234
8,3922.723914122713,235
8,3621.3354181553655,236
8,3771.83597423481,237
8,3682.707807273921,238
8,3703.1973512668483,239
9,3589.2517850853974,240
9,3896.9340911538866,241
9,3866.7335973179916,242
9,4008.240723213783,243
9,3808.2378392987016,244
9,3837.8724461987017,245
9,3661.8365650641967,246
