prefetch_count,arrival_rate,sample_id,setpoint
1,122.22479328438232,1,500
4,524.064104150942,2,500
4,594.9717144399541,3,500
4,408.4555236258198,4,500
4,438.683233955593,5,500
4,498.60074279802654,6,500
4,491.2404422391182,7,500
4,453.9271274708014,8,500
4,516.2578293645295,9,500
4,488.1517327653789,10,500
4,517.1047310842073,11,500
4,510.6231335374862,12,500
4,500.98017869759116,13,500
4,499.4805414946746,14,500
4,513.7818880434106,15,500
4,397.6444919844025,16,500
5,572.3158894973207,17,500
5,525.3661608097705,18,500
4,516.8696344463017,19,500
4,458.7159411051247,20,500
4,435.1952811843031,21,500
4,517.8907510805582,22,500
4,479.7443130650185,23,500
4,524.3481764885955,24,500
4,541.5871752633192,25,500
4,501.7267902096375,26,500
4,484.7456526130084,27,500
4,575.3303884050481,28,500
4,479.67855844406506,29,500
4,476.34022872907224,30,500
4,490.0076365007416,31,1500
12,1401.9730598408228,32,1500
12,1682.7165104938208,33,1500
12,1420.6013670124278,34,1500
12,1597.627812123213,35,1500
11,1455.87560152569,36,1500
11,1420.2946484245676,37,1500
11,1445.6541523085548,38,1500
12,1772.3224141643843,39,1500
11,1317.262683484947,40,1500
11,1481.327234898559,41,1500
11,1497.980578597506,42,1500
11,1439.0357931737638,43,1500
11,1308.8878430419782,44,1500
13,1343.1437276342106,45,1500
14,1572.5354672101328,46,1500
12,952.7280435457151,47,1500
15,1668.501897987387,48,1500
12,1489.8512544277578,49,1500
12,1438.8394457502257,50,1500
13,1382.4027882399096,51,1500
11,1444.639624992799,52,1500
11,1480.204085218084,53,1500
11,1485.8654878266236,54,1500
11,1429.9775911996503,55,1500
11,1740.0046804452752,56,1500
11,1620.9528290084654,57,1500
11,1466.5029051832664,58,1500
11,1617.2795314886164,59,1500
11,1411.4326740616568,60,1500
11,1360.2335876791742,61,1000
8,978.9606480472962,62,1000
8,908.0449238480325,63,1000
8,1159.3699893074777,64,1000
8,1198.0164386004092,65,1000
8,956.1287340717348,66,1000
8,1030.7134634769145,67,1000
8,846.1420155797703,68,1000
8,1112.8417418616284,69,1000
8,1133.7909535870772,70,1000
8,1071.4631137658043,71,1000
9,1195.188297121127,72,1000
9,1190.2270171865093,73,1000
8,903.6394164097494,74,1000
8,989.4281285108449,75,1000
8,991.8011841917507,76,1000
8,639.6568084342259,77,1000
12,921.8354401850354,78,1000
7,937.3786322957474,79,1000
8,1188.2221993984012,80,1000
8,1184.4694161494426,81,1000
8,961.9206050511635,82,1000
8,918.2050196322957,83,1000
8,951.6035601963617,84,1000
8,1000.0236026624565,85,1000
9,1001.0693912181175,86,1000
8,953.4017887561023,87,1000
8,994.3191787038502,88,1000
9,1136.7836657924627,89,1000
8,1052.960901792665,90,1000
8,1014.3801439256691,91,700
6,704.749852577466,92,700
6,736.4778013400779,93,700
6,937.1199777655443,94,700
6,593.7403005649771,95,700
6,665.886564169223,96,700
6,667.7814042851466,97,700
6,787.2775058862327,98,700
6,700.4299272746542,99,700
6,734.0970402977082,100,700
6,712.492073903697,101,700
6,634.0984721104473,102,700
6,733.2825375415711,103,700
6,807.7514357348767,104,700
6,679.2861505563784,105,700
6,839.8376064807402,106,700
6,662.1935783865702,107,700
6,550.5912279089551,108,700
8,837.432811550206,109,700
6,850.515026663977,110,700
6,764.1455102451727,111,700
6,769.4608638406356,112,700
6,736.8195407776254,113,700
6,804.2783098037146,114,700
5,582.1898560688924,115,700
6,632.0888194726309,116,700
5,715.0731298183136,117,700
5,758.3167924782815,118,700
5,602.782920720814,119,700
5,659.4754769680796,120,700
5,712.9277002205895,121,2100
15,2392.1596679629774,122,2100
14,1831.4210182255088,123,2100
15,2112.1894799726792,124,2100
14,2127.284040201603,125,2100
15,2387.686074687778,126,2100
14,1960.1258996705978,127,2100
14,2171.6791033917584,128,2100
14,1802.261675994542,129,2100
15,2148.9177438173588,130,2100
15,2479.487438823734,131,2100
14,1969.0212586981459,132,2100
15,2113.2214538225685,133,2100
14,1599.8572923181994,134,2100
15,1805.147500577246,135,2100
15,2069.7528371990857,136,2100
15,2252.410479846794,137,2100
14,1659.864532809779,138,2100
15,1907.069523091518,139,2100
15,2229.613403738125,140,2100
15,2004.6852802026508,141,2100
15,1978.0579324719504,142,2100
15,1699.9129052603787,143,2100
15,2171.704937294359,144,2100
15,2241.1423201809603,145,2100
14,2208.36107664035,146,2100
15,2211.650570991441,147,2100
14,1846.5725377190813,148,2100
15,2001.7157513069362,149,2100
14,2101.1521790132074,150,2100
