prefetch_count,arrival_rate,sample_id,setpoint
1,235.95589012037829,1,500
1,146.62547276233906,2,500
2,303.7590652461066,3,500
3,389.7059952170649,4,500
3,427.6014728569142,5,500
3,363.017902294205,6,500
3,370.72523856167504,7,500
3,293.44201702955525,8,500
6,646.4873522563411,9,500
3,345.72328728979346,10,500
3,374.5635721960773,11,500
3,402.89590273907487,12,500
3,392.7248368946327,13,500
3,372.5422958927183,14,500
3,382.32048536836174,15,500
3,394.7336897766448,16,500
3,383.14055726238917,17,500
3,399.9820772455017,18,500
3,471.1823848954402,19,500
3,403.73029956881277,20,500
3,403.12583384937216,21,500
3,382.77487524611655,22,500
3,374.7362064259323,23,500
3,417.5168300703459,24,500
3,363.9779739537496,25,500
3,381.99886242002583,26,500
3,401.04905081949414,27,500
3,374.5278381319754,28,500
3,255.40243334965504,29,500
6,734.6741164762657,30,500
3,391.2042643847677,31,1500
6,747.6790731815739,32,1500
7,944.8498003955274,33,1500
8,1028.9744392946259,34,1500
9,1145.2321796499389,35,1500
10,1316.678631520211,36,1500
11,1367.3016297726276,37,1500
11,1518.826527690934,38,1500
11,1397.6959279335777,39,1500
11,1265.151694191392,40,1500
15,1719.6955267395685,41,1500
8,878.9841708815117,42,1500
15,2208.239524777513,43,1500
8,1048.1441198723642,44,1500
15,2283.543085099034,45,1500
8,1115.4608022181367,46,1500
15,2003.9888482904569,47,1500
8,1169.4107746057855,48,1500
15,2308.3378189961304,49,1500
8,1057.4742986892081,50,1500
15,2190.035220759895,51,1500
8,1036.636969634831,52,1500
15,2052.8236095391935,53,1500
8,1065.1621112504383,54,1500
15,2149.114390083954,55,1500
8,1118.0129072476832,56,1500
15,2319.008890949526,57,1500
8,1097.7644921598062,58,1500
15,1700.938798536383,59,1500
8,644.3284740466429,60,1500
15,1697.3236372703402,61,1000
8,1101.753411309992,62,1000
8,1174.7933609869722,63,1000
8,1151.5980697475877,64,1000
8,1092.8568089826717,65,1000
8,1136.3413484763278,66,1000
4,531.0154555077534,67,1000
8,1031.9969991835446,68,1000
8,1230.683266607804,69,1000
4,523.2552046864386,70,1000
8,1169.2039466607114,71,1000
4,592.7721323250796,72,1000
8,1288.663918960368,73,1000
4,821.1113684782753,74,1000
8,1299.3445470201864,75,1000
4,636.5448991955708,76,1000
8,1132.861596574668,77,1000
8,1360.4761219708164,78,1000
4,506.8940580751949,79,1000
8,1443.0610605609481,80,1000
4,531.249113053513,81,1000
8,1277.2883261204931,82,1000
4,749.2260383124157,83,1000
8,1089.220252875184,84,1000
8,1125.2505104424586,85,1000
8,1147.6020434015174,86,1000
8,1300.773099297295,87,1000
4,596.035922333134,88,1000
8,1139.1669224224393,89,1000
4,480.42951719709316,90,1000
8,1428.038936913358,91,700
4,603.4403392748998,92,700
4,600.5134791636871,93,700
4,536.1435207580714,94,700
8,1433.443066375685,95,700
4,739.529037346457,96,700
4,555.6605331847484,97,700
8,1340.2514154908674,98,700
4,700.7315531768381,99,700
4,516.9206192819496,100,700
8,1013.2796211916419,101,700
4,560.3056634827353,102,700
8,1123.5847683192287,103,700
4,462.08328700780464,104,700
8,1160.0460417422498,105,700
4,562.7061751696291,106,700
4,544.7574856335225,107,700
8,1290.9896687494397,108,700
4,681.7566165901517,109,700
4,522.8153599481302,110,700
8,1205.991169996505,111,700
4,512.3422922230039,112,700
8,1053.4771404806083,113,700
4,511.7717874450133,114,700
8,1278.455077712129,115,700
4,599.5000717199897,116,700
4,562.2290590236479,117,700
4,535.3361548836567,118,700
4,598.3230704455043,119,700
4,347.2339013932587,120,700
8,1191.522521721036,121,2100
8,1362.0050392549415,122,2100
10,1579.6141882885127,123,2100
10,1484.6399901440786,124,2100
15,2069.4274773621837,125,2100
8,1323.6067157548207,126,2100
15,2361.5067980949284,127,2100
8,1255.5384071561948,128,2100
15,2210.57523984727,129,2100
15,2342.8968824498643,130,2100
8,1084.995394527477,131,2100
15,2172.199796422372,132,2100
15,2379.6310264006634,133,2100
8,1550.9758002737233,134,2100
15,2017.4322314476358,135,2100
15,2284.9440902110064,136,2100
8,1356.2121654278328,137,2100
15,2501.1357518229884,138,2100
8,1016.2202011916982,139,2100
15,2117.110196151582,140,2100
15,2071.5005498063183,141,2100
15,2162.509353873389,142,2100
15,2061.756300930119,143,2100
15,2029.1989950753737,144,2100
15,2228.454088644598,145,2100
15,2728.5338828291656,146,2100
8,1481.9910150251583,147,2100
15,2522.876328130437,148,2100
8,1487.2731974807373,149,2100
15,2486.5720403351293,150,2100
