prefetch_count,arrival_rate,sample_id,setpoint
1,108.91694710923684,1,1000
4,557.0958825177293,2,1000
6,866.6082007351907,3,1000
7,1010.3232620738816,4,1000
7,797.6508839468711,5,1000
8,888.5375793070663,6,1000
9,983.2311975582878,7,1000
10,1188.4093137622897,8,1000
10,1153.1447539354435,9,1000
10,889.5382784165826,10,1000
11,803.4495650686415,11,1000
12,692.7908163143666,12,1000
14,795.9736061560565,13,1000
15,727.6415056992514,14,1000
16,749.4688190677339,15,1000
17,824.890140621054,16,1000
18,743.4089142135116,17,1000
19,766.7301693619022,18,1000
20,760.8318454931325,19,1000
20,746.8661093152557,20,1000
20,818.6793640634187,21,1000
20,709.2983089010503,22,1000
20,779.4027105670431,23,1000
20,778.8264988965544,24,1000
20,710.4811377014339,25,1000
20,842.8998191333205,26,1000
20,715.6780568604202,27,1000
20,769.6614479345525,28,1000
20,752.1086104173831,29,1000
20,707.3196102003616,30,1000
20,808.6990160335747,31,1000
20,760.2361984391569,32,1000
20,770.0390292259202,33,1000
20,831.3588116738639,34,1000
20,710.2702542176492,35,1000
20,794.415298814385,36,1000
20,755.1241772004475,37,1000
20,727.3985605697507,38,1000
20,816.289588288359,39,1000
20,719.8991761407743,40,1000
20,796.7049493892969,41,1000
20,789.4740920054377,42,1000
20,740.1370029187102,43,1000
20,830.7016680120594,44,1000
20,736.1542469080638,45,1000
20,765.499616730405,46,1000
20,808.3731857273489,47,1000
20,711.1333386791864,48,1000
20,815.0668643631985,49,1000
20,762.9209304503281,50,1000
