prefetch_count,arrival_rate,sample_id,setpoint
1,97.35166192743061,1,1000
1,106.93971372768662,2,1000
2,238.7085870426874,3,1000
3,351.2615181284952,4,1000
4,473.0663961919173,5,1000
5,576.6025112864652,6,1000
6,672.0921376416806,7,1000
7,762.5226954413953,8,1000
8,1008.6484338646145,9,1000
8,901.698215652659,10,1000
8,1113.6823469524538,11,1000
8,870.8774585580629,12,1000
8,994.1999914078115,13,1000
8,917.5558979438981,14,1000
8,947.3964537324134,15,1000
8,1205.6953932395936,16,1000
4,474.73171792245114,17,1000
8,1077.588948070028,18,1000
8,883.9456258844274,19,1000
8,953.8589051025127,20,1000
8,1347.116399112764,21,1000
4,898.1792005771463,22,1000
4,603.6954620327772,23,1000
8,1188.694912702172,24,1000
4,552.831814863291,25,1000
8,904.6752601975572,26,1000
8,904.2012027266887,27,1000
8,888.0481094460728,28,1000
8,761.2856611949502,29,1000
15,783.8123112228874,30,1000
15,757.4394473498877,31,1000
15,820.394445037308,32,1000
15,735.0819818004264,33,1000
15,752.34672470682,34,1000
15,809.77578957462,35,1000
15,721.8034028512436,36,1000
15,819.2001952172257,37,1000
15,752.4862740876331,38,1000
15,767.3791567365175,39,1000
15,791.0152922684556,40,1000
15,727.3926407868227,41,1000
15,778.8083471774657,42,1000
15,728.5990272153491,43,1000
15,737.9963706970673,44,1000
15,822.353023008272,45,1000
15,695.207251775721,46,1000
15,795.2606830314749,47,1000
15,793.0305328570777,48,1000
15,723.7036377505779,49,1000
15,782.9973677962098,50,1000
