prefetch_count,arrival_rate,sample_id,setpoint
1,111.71534859635616,1,1000
9,1157.2683699615995,2,1000
8,1018.8809064771535,3,1000
8,1229.749209781029,4,1000
7,893.8308687032787,5,1000
8,916.1106182675022,6,1000
9,1032.1661629563794,7,1000
9,966.6537680754957,8,1000
9,1002.3581826992474,9,1000
9,970.2827670100738,10,1000
9,1084.8747337261334,11,1000
8,872.337241055212,12,1000
9,961.390567740978,13,1000
9,1056.1484705936573,14,1000
9,1122.0015907812399,15,1000
8,851.1266191055407,16,1000
9,981.8986890238145,17,1000
9,965.3636653064194,18,1000
9,966.0697950231727,19,1000
9,1081.2560500807206,20,1000
8,941.4445364606477,21,1000
8,854.9499060308208,22,1000
9,750.3397413799307,23,1000
12,1194.1078292286804,24,1000
10,1064.3920966340331,25,1000
9,958.5078203880854,26,1000
9,946.8029694314577,27,1000
10,1068.5496355151354,28,1000
9,917.2656786489902,29,1000
10,1062.535683343359,30,1000
9,926.0718710049711,31,1000
10,1050.7439901319933,32,1000
10,1045.2832677167419,33,1000
10,1021.5220821424036,34,1000
10,1063.8940598518386,35,1000
9,781.8815891300642,36,1000
12,712.4202942201412,37,1000
15,810.1639414422901,38,1000
15,706.3759300356728,39,1000
15,781.0232403940465,40,1000
15,792.069907375801,41,1000
15,728.2889476714557,42,1000
15,819.6438065933123,43,1000
15,742.1137861527567,44,1000
15,771.9835326593493,45,1000
15,813.6911922359941,46,1000
15,735.5918614526339,47,1000
15,818.8224592318753,48,1000
15,733.1802996111473,49,1000
15,769.3816844972371,50,1000
