PC,arrival_rate,sample_id,setpoint
1,190.6713331835972,1,4500
1,225.7928563327705,2,4500
1,294.2651664125624,3,4500
1,282.2873067412254,4,4500
1,254.2717077305619,5,4500
1,126.19284838674986,6,4500
1,128.16691247634188,7,4500
1,150.6355697126235,8,4500
1,163.0925769870408,9,4500
1,314.0886999166447,10,4500
2,569.3656287724483,11,4500
2,556.1549381488956,12,4500
2,567.2716790462513,13,4500
2,463.7696806560466,14,4500
2,369.0801482006469,15,4500
2,567.3554426949445,16,4500
2,287.1094066493254,17,4500
2,514.5563995970685,18,4500
2,498.8768955262018,19,4500
2,434.5480239274516,20,4500
3,351.00666742251406,21,4500
3,391.6149653038789,22,4500
3,477.8835475959127,23,4500
3,360.5779348222162,24,4500
3,474.857136890405,25,4500
3,616.6960632211944,26,4500
3,538.0471093441363,27,4500
3,773.5377606468103,28,4500
3,729.7212016871038,29,4500
3,697.3957924910675,30,4500
4,579.1614918329345,31,4500
4,510.40022763542464,32,4500
4,461.2751292391366,33,4500
4,553.4985249132291,34,4500
4,870.0288718938416,35,4500
4,654.8313861138813,36,4500
4,716.1252681660947,37,4500
4,658.0283679966664,38,4500
4,771.2833596622863,39,4500
4,803.1683771620824,40,4500
5,880.4253350992931,41,4500
5,705.7764332047917,42,4500
5,839.4983987838768,43,4500
5,952.2975981781451,44,4500
5,946.8801110892804,45,4500
5,702.6142986595167,46,4500
5,680.0721804548226,47,4500
5,473.8519629824972,48,4500
5,595.3390510109654,49,4500
5,594.6865725378918,50,4500
6,725.2238079404136,51,4500
6,952.5555469040896,52,4500
6,848.8013152883215,53,4500
6,977.6330014712786,54,4500
6,711.1378435293584,55,4500
6,815.8897937168979,56,4500
6,847.7553253529642,57,4500
6,721.9211410669323,58,4500
6,702.456619778022,59,4500
6,853.1981056511852,60,4500
7,963.9565400644002,61,4500
7,952.1931060241856,62,4500
7,934.4780710950448,63,4500
7,831.0451576080787,64,4500
7,971.9022197757122,65,4500
7,847.2064732787413,66,4500
7,966.2431215699397,67,4500
7,842.9698959833037,68,4500
7,814.455651395903,69,4500
7,843.6581233029386,70,4500
8,963.5225486205893,71,4500
8,1185.9440062264835,72,4500
8,1462.4244917157416,73,4500
8,1323.359424967277,74,4500
8,1216.7947792654804,75,4500
8,1077.5258493135855,76,4500
8,1162.919446039025,77,4500
8,612.1446755983992,78,4500
8,1067.9528768165198,79,4500
8,1105.1446413781277,80,4500
9,1333.3107981766652,81,4500
9,1527.500426904215,82,4500
9,1490.8334182110648,83,4500
9,1234.5982338930598,84,4500
9,1392.765829915377,85,4500
9,1607.3251951416062,86,4500
9,1297.2248443514877,87,4500
9,1517.7157135754069,88,4500
9,1694.0997706740472,89,4500
9,1670.3483480022583,90,4500
10,1875.5880604264228,91,4500
10,1839.7981161513287,92,4500
10,1857.677625387217,93,4500
10,1629.2201151286802,94,4500
10,1857.3699576784472,95,4500
10,1774.9594185069018,96,4500
10,1835.7553284356254,97,4500
10,1828.8514002425188,98,4500
10,1636.5489552520694,99,4500
10,1865.1578880186091,100,4500
11,1789.4350630771194,101,4500
11,1510.2961572040097,102,4500
11,1447.3671829654932,103,4500
11,1412.2253868519028,104,4500
11,1658.3137225854916,105,4500
11,1954.0990682129534,106,4500
11,1764.0457864376692,107,4500
11,1229.1764855237643,108,4500
11,1828.458320008754,109,4500
11,1975.543725456948,110,4500
12,1912.8978564691722,111,4500
12,1985.332962781245,112,4500
12,1704.6951001631373,113,4500
12,1710.2817498233123,114,4500
12,1959.164347454717,115,4500
12,2006.9629406094664,116,4500
12,1944.3722065002403,117,4500
12,1764.9007796896844,118,4500
12,1973.4693080897912,119,4500
12,2150.040035504375,120,4500
13,2194.042860585375,121,4500
13,2098.6941957348176,122,4500
13,2156.630431342754,123,4500
13,2127.697993008165,124,4500
13,2177.7780864966608,125,4500
13,2159.740736613063,126,4500
13,2011.9161357115775,127,4500
13,2179.7580300953837,128,4500
13,2162.2893288423165,129,4500
13,2226.816250537798,130,4500
14,2348.5011085057977,131,4500
14,2147.6501192256637,132,4500
14,2158.4661766560266,133,4500
14,2339.393803458171,134,4500
14,2027.898830078764,135,4500
14,2174.80420642743,136,4500
14,2141.4861926315352,137,4500
14,1983.9927627827476,138,4500
14,1337.071118296786,139,4500
14,2202.3837747434045,140,4500
15,2351.5646712231974,141,4500
15,2446.082037704763,142,4500
15,1804.8873425707138,143,4500
15,1663.4525845228036,144,4500
15,1755.1636423704738,145,4500
15,1954.5346489496778,146,4500
15,2278.7533974249145,147,4500
15,2289.941489463848,148,4500
15,2201.213104864318,149,4500
15,2106.463245501101,150,4500
16,2167.6941599502547,151,4500
16,2263.756274102182,152,4500
16,2278.6950705446066,153,4500
16,2155.9874577298237,154,4500
16,2284.093692226692,155,4500
16,2226.2522330133747,156,4500
16,2435.7919672513694,157,4500
16,2333.4788032669057,158,4500
16,2499.6715688650393,159,4500
16,2589.7864503554774,160,4500
17,2638.4416672306916,161,4500
17,2593.2425002211285,162,4500
17,2527.1322849193843,163,4500
17,2347.618644324751,164,4500
17,2140.078717252948,165,4500
